Discharge,Feelings and Urge,Pain and Infection,Physical Conditions,Critical Feelings,Disease,Critical
Painful Urination,Urge to urinate,Blurred Vision,Rashes,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Swollen genitals,Swollen testicles,Cough and breathing difficulties,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Blurred Vision,Rose spots,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Tired,Frequent Infection,Rashes,Cough and breathing difficulties,Typhoid,Critical
Painful Urination,Urge to urinate,Frequent Infection,Rose spots,Seizures,Gonorrhea,Critical
Frequent Urination,Tired,Frequent Infection,Swollen testicles,Seizures,Diabetes,Critical
Frequent Urination,Fever,Abdominal Pain,Swollen testicles,Cough and breathing difficulties,Diabetes,Critical
"Yellow,green discharge",Tired,Anal Itching and Pain,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Difficulties in stooling,Tired,Frequent Infection,Bloody diarrhea,Confusion,Typhoid,Critical
Painful Urination,Urge to urinate,Muscle Aches,Rose spots,Disorientation,Gonorrhea,Critical
Frequent Urination,Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Painful Urination,Fever,Headache,Bloody diarrhea,Disorientation,Typhoid,Critical
Difficulties in stooling,Hunger,Abdominal Pain,Rose spots,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Fever,Muscle Aches,Rose spots,Confusion,Typhoid,Critical
Painful Urination,Urge to urinate,Blurred Vision,Bloody diarrhea,Slow heart rate and pulse,Gonorrhea,Critical
Painful Urination,Hunger,Muscle Aches,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
Frequent Urination,Urge to urinate,Swollen genitals,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Difficulties in stooling,Fever,Frequent Infection,Rashes,Confusion,Typhoid,Critical
Painful Urination,Fever,Muscle Aches,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Bloody diarrhea,Slow heart rate and pulse,Gonorrhea,Critical
"Yellow,green discharge",Fever,Anal Itching and Pain,Excessive Urination and Thirst,Confusion,Diabetes,Critical
"Yellow,green discharge",Fever,Swollen genitals,Rose spots,Seizures,Typhoid,Critical
Frequent Urination,Urge to urinate,Swollen genitals,Rose spots,Disorientation,Diabetes,Critical
Painful Urination,Hunger,Abdominal Pain,Rose spots,Disorientation,Typhoid,Critical
Painful Urination,Tired,Muscle Aches,Rashes,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Blurred Vision,Swollen testicles,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Frequent Infection,Rose spots,Cough and breathing difficulties,Gonorrhea,Critical
Painful Urination,Tired,Muscle Aches,Bloody diarrhea,Seizures,Typhoid,Critical
Frequent Urination,Urge to urinate,Frequent Infection,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
Frequent Urination,Hunger,Swollen genitals,Rose spots,Slow heart rate and pulse,Diabetes,Critical
Painful Urination,Tired,Anal Itching and Pain,Rose spots,NIL,Typhoid,Critical
Frequent Urination,Urge to urinate,Anal Itching and Pain,Swollen testicles,Confusion,Diabetes,Critical
"Yellow,green discharge",Fever,Abdominal Pain,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Painful Urination,Hunger,Frequent Infection,Rose spots,Seizures,Typhoid,Critical
Frequent Urination,Tired,Frequent Infection,Swollen testicles,Disorientation,Diabetes,Critical
Painful Urination,Fever,Frequent Infection,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Fever,Abdominal Pain,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Fever,Headache,Rashes,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Tired,Swollen genitals,Bloody diarrhea,Disorientation,Typhoid,Critical
Difficulties in stooling,Hunger,Headache,Swollen testicles,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Fever,Muscle Aches,Rose spots,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Tired,Headache,Swollen testicles,Confusion,Typhoid,Critical
Difficulties in stooling,Hunger,Swollen genitals,NIL,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Tired,Swollen genitals,Rose spots,Confusion,Typhoid,Critical
Frequent Urination,Hunger,Headache,Rose spots,Disorientation,Diabetes,Critical
Painful Urination,Fever,Muscle Aches,Bloody diarrhea,Disorientation,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Blurred Vision,Rashes,Seizures,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Anal Itching and Pain,Swollen testicles,Seizures,Diabetes,Critical
"Yellow,green discharge",Hunger,Abdominal Pain,Rose spots,Disorientation,Typhoid,Critical
Frequent Urination,Urge to urinate,Frequent Infection,Rose spots,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Rashes,Cough and breathing difficulties,Gonorrhea,Critical
Difficulties in stooling,Hunger,Frequent Infection,Rose spots,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Urge to urinate,Abdominal Pain,Rose spots,Seizures,Diabetes,Critical
Difficulties in stooling,Hunger,Headache,Bloody diarrhea,Confusion,Typhoid,Critical
Frequent Urination,Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Confusion,Diabetes,Critical
"Yellow,green discharge",Tired,Swollen genitals,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Tired,Anal Itching and Pain,Rose spots,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Fever,Headache,Rose spots,Confusion,Typhoid,Critical
Painful Urination,Fever,Anal Itching and Pain,Bloody diarrhea,Disorientation,Typhoid,Critical
Painful Urination,Tired,Frequent Infection,Rashes,Seizures,Typhoid,Critical
Difficulties in stooling,Fever,Swollen genitals,Swollen testicles,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Tired,Frequent Infection,Rashes,Confusion,Typhoid,Critical
"Yellow,green discharge",Hunger,Swollen genitals,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Rashes,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Hunger,Frequent Infection,Swollen testicles,Confusion,Typhoid,Critical
Painful Urination,Tired,Anal Itching and Pain,Rashes,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Fever,Headache,Rashes,Confusion,Typhoid,Critical
Difficulties in stooling,Tired,Blurred Vision,Swollen testicles,Disorientation,Typhoid,Critical
Frequent Urination,Fever,Swollen genitals,Rose spots,Confusion,Diabetes,Critical
Difficulties in stooling,Fever,Muscle Aches,Rose spots,Confusion,Typhoid,Critical
Painful Urination,Fever,Anal Itching and Pain,Rashes,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Difficulties in stooling,Hunger,Headache,Rashes,Confusion,Typhoid,Critical
Frequent Urination,Hunger,Headache,Rashes,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Fever,Frequent Infection,Swollen testicles,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Hunger,Headache,Rashes,Confusion,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Headache,Rashes,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Tired,Swollen genitals,Bloody diarrhea,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Fever,Abdominal Pain,Rose spots,Disorientation,Typhoid,Critical
Frequent Urination,Tired,Abdominal Pain,Swollen testicles,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Fever,Swollen genitals,Rashes,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Tired,Abdominal Pain,Swollen testicles,Disorientation,Diabetes,Critical
Frequent Urination,Fever,Blurred Vision,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Painful Urination,Tired,Headache,Swollen testicles,Confusion,Typhoid,Critical
Frequent Urination,Tired,Muscle Aches,Rose spots,Confusion,Diabetes,Critical
"Yellow,green discharge",Hunger,Muscle Aches,Swollen testicles,Seizures,Typhoid,Critical
Frequent Urination,Urge to urinate,Frequent Infection,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Fever,Muscle Aches,Bloody diarrhea,Disorientation,Typhoid,Critical
Painful Urination,Fever,Blurred Vision,Bloody diarrhea,Confusion,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Swollen genitals,Bloody diarrhea,Seizures,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Rashes,Seizures,Gonorrhea,Critical
Painful Urination,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Frequent Urination,Urge to urinate,Abdominal Pain,Rashes,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Fever,Anal Itching and Pain,Rashes,Confusion,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Frequent Infection,Rashes,Seizures,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Muscle Aches,Excessive Urination and Thirst,Seizures,Diabetes,Critical
"Yellow,green discharge",Fever,Abdominal Pain,Swollen testicles,Disorientation,Typhoid,Critical
Frequent Urination,Hunger,Frequent Infection,Swollen testicles,Confusion,Diabetes,Critical
Frequent Urination,Hunger,Frequent Infection,Rose spots,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Hunger,Headache,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Tired,Headache,Rose spots,Seizures,Typhoid,Critical
"Yellow,green discharge",Hunger,Muscle Aches,NIL,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Tired,Headache,Swollen testicles,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Fever,Swollen genitals,Excessive Urination and Thirst,Confusion,Diabetes,Critical
Difficulties in stooling,Hunger,Blurred Vision,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Fever,Anal Itching and Pain,Swollen testicles,Seizures,Diabetes,Critical
"Yellow,green discharge",Hunger,Frequent Infection,Excessive Urination and Thirst,Seizures,Diabetes,Critical
Painful Urination,Urge to urinate,Headache,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Swollen genitals,Rose spots,Slow heart rate and pulse,Gonorrhea,Critical
Difficulties in stooling,Hunger,Blurred Vision,Rose spots,Disorientation,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Frequent Infection,Bloody diarrhea,Slow heart rate and pulse,Gonorrhea,Critical
Painful Urination,Urge to urinate,Muscle Aches,NIL,Cough and breathing difficulties,Gonorrhea,Critical
Frequent Urination,Tired,Anal Itching and Pain,Excessive Urination and Thirst,Confusion,Diabetes,Critical
"Yellow,green discharge",Fever,Headache,Rose spots,Cough and breathing difficulties,Typhoid,Critical
Difficulties in stooling,Tired,Anal Itching and Pain,Swollen testicles,Confusion,Typhoid,Critical
Difficulties in stooling,Tired,Swollen genitals,Excessive Urination and Thirst,Confusion,Diabetes,Critical
Frequent Urination,Urge to urinate,Blurred Vision,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Frequent Infection,Rashes,Confusion,Gonorrhea,Critical
Painful Urination,Hunger,Headache,Rose spots,Confusion,Typhoid,Critical
Painful Urination,Tired,Headache,Swollen testicles,Disorientation,Typhoid,Critical
"Yellow,green discharge",Tired,Muscle Aches,Rose spots,Seizures,Typhoid,Critical
Painful Urination,Tired,Anal Itching and Pain,Swollen testicles,Seizures,Typhoid,Critical
Painful Urination,Fever,Anal Itching and Pain,Swollen testicles,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Fever,Blurred Vision,Rashes,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Tired,Anal Itching and Pain,Excessive Urination and Thirst,Seizures,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Frequent Infection,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Hunger,Muscle Aches,Rose spots,Seizures,Typhoid,Critical
Difficulties in stooling,Fever,Frequent Infection,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Frequent Urination,Hunger,Abdominal Pain,Swollen testicles,Slow heart rate and pulse,Diabetes,Critical
Frequent Urination,Urge to urinate,Abdominal Pain,Rose spots,Severe pelvic pain,Diabetes,Critical
Painful Urination,Hunger,Blurred Vision,Swollen testicles,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Fever,Headache,Rose spots,Seizures,Typhoid,Critical
Frequent Urination,Fever,Swollen genitals,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Painful Urination,Tired,Muscle Aches,Swollen testicles,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Blurred Vision,Bloody diarrhea,Cough and breathing difficulties,Diabetes,Critical
Frequent Urination,Hunger,Frequent Infection,Rose spots,Confusion,Diabetes,Critical
"Yellow,green discharge",Tired,Headache,Rashes,Confusion,Typhoid,Critical
"Yellow,green discharge",Tired,Muscle Aches,Excessive Urination and Thirst,Seizures,Diabetes,Critical
Painful Urination,Fever,Blurred Vision,Swollen testicles,Seizures,Typhoid,Critical
Difficulties in stooling,Tired,Swollen genitals,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Fever,Blurred Vision,Rashes,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Swollen genitals,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Tired,Abdominal Pain,Rashes,Slow heart rate and pulse,Typhoid,Critical
Painful Urination,Hunger,Frequent Infection,Bloody diarrhea,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Hunger,Headache,Rose spots,Confusion,Typhoid,Critical
"Yellow,green discharge",Hunger,Swollen genitals,Rose spots,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Fever,Headache,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Tired,Blurred Vision,Rashes,Confusion,Typhoid,Critical
Frequent Urination,Hunger,Blurred Vision,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Swollen testicles,Disorientation,Gonorrhea,Critical
Difficulties in stooling,Hunger,Headache,Swollen testicles,Confusion,Typhoid,Critical
Frequent Urination,Tired,Abdominal Pain,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
Frequent Urination,Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Painful Urination,Hunger,Muscle Aches,Rose spots,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Headache,Swollen testicles,Seizures,Diabetes,Critical
Difficulties in stooling,Tired,Blurred Vision,Rose spots,Disorientation,Typhoid,Critical
Difficulties in stooling,Fever,Abdominal Pain,NIL,Confusion,Typhoid,Critical
Painful Urination,Urge to urinate,Muscle Aches,Rashes,Confusion,Gonorrhea,Critical
Frequent Urination,Hunger,Blurred Vision,Rashes,Seizures,Diabetes,Critical
Painful Urination,Tired,Anal Itching and Pain,Bloody diarrhea,Seizures,Typhoid,Critical
Frequent Urination,Fever,Headache,Rose spots,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Fever,Muscle Aches,Rose spots,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Fever,Muscle Aches,Rose spots,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Fever,Blurred Vision,Rose spots,Seizures,Typhoid,Critical
Frequent Urination,Hunger,Swollen genitals,Rashes,Seizures,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Swollen genitals,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Painful Urination,Hunger,Anal Itching and Pain,Bloody diarrhea,Confusion,Typhoid,Critical
Difficulties in stooling,Hunger,Blurred Vision,Excessive Urination and Thirst,Confusion,Diabetes,Critical
Painful Urination,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,Seizures,Diabetes,Critical
Painful Urination,Fever,Headache,Bloody diarrhea,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Urge to urinate,Blurred Vision,Rashes,Confusion,Diabetes,Critical
Frequent Urination,Tired,Swollen genitals,Bloody diarrhea,Slow heart rate and pulse,Diabetes,Critical
Painful Urination,Fever,Headache,NIL,Seizures,Typhoid,Critical
Frequent Urination,Fever,Swollen genitals,Swollen testicles,Cough and breathing difficulties,Diabetes,Critical
"Yellow,green discharge",Tired,Frequent Infection,Rose spots,Disorientation,Typhoid,Critical
Painful Urination,Urge to urinate,Anal Itching and Pain,Rose spots,Slow heart rate and pulse,Gonorrhea,Critical
Painful Urination,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Frequent Infection,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Painful Urination,Tired,Abdominal Pain,Bloody diarrhea,Confusion,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Headache,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
Difficulties in stooling,Tired,Muscle Aches,Swollen testicles,Confusion,Typhoid,Critical
"Yellow,green discharge",Hunger,Blurred Vision,Rashes,Cough and breathing difficulties,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Muscle Aches,Rashes,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Frequent Urination,Hunger,Swollen genitals,Swollen testicles,Disorientation,Diabetes,Critical
"Yellow,green discharge",Tired,Blurred Vision,Rose spots,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Urge to urinate,Blurred Vision,Swollen testicles,Seizures,Diabetes,Critical
Difficulties in stooling,Fever,Frequent Infection,Rose spots,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Hunger,Blurred Vision,Rashes,Confusion,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Abdominal Pain,Rose spots,Confusion,Gonorrhea,Critical
Painful Urination,Fever,Frequent Infection,Excessive Urination and Thirst,Seizures,Diabetes,Critical
Painful Urination,Fever,Anal Itching and Pain,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Tired,Frequent Infection,Bloody diarrhea,Seizures,Typhoid,Critical
Difficulties in stooling,Hunger,Anal Itching and Pain,Rose spots,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Hunger,Frequent Infection,Rashes,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Hunger,Headache,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
Painful Urination,Tired,Swollen genitals,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Painful Urination,Urge to urinate,Anal Itching and Pain,Bloody diarrhea,Disorientation,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Headache,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Frequent Urination,Urge to urinate,Anal Itching and Pain,Rashes,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Tired,Headache,Rose spots,Seizures,Diabetes,Critical
Painful Urination,Hunger,Headache,Rashes,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Urge to urinate,Anal Itching and Pain,Rashes,Disorientation,Gonorrhea,Critical
Frequent Urination,Fever,Blurred Vision,Swollen testicles,Confusion,Diabetes,Critical
"Yellow,green discharge",Hunger,Muscle Aches,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
"Yellow,green discharge",Tired,Muscle Aches,Bloody diarrhea,Disorientation,Typhoid,Critical
Frequent Urination,Fever,Frequent Infection,Excessive Urination and Thirst,Seizures,Diabetes,Critical
Painful Urination,Fever,Headache,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Difficulties in stooling,Hunger,Blurred Vision,Swollen testicles,Disorientation,Typhoid,Critical
Frequent Urination,Hunger,Muscle Aches,Bloody diarrhea,Confusion,Diabetes,Critical
"Yellow,green discharge",Fever,Swollen genitals,Swollen testicles,Seizures,Typhoid,Critical
Painful Urination,Urge to urinate,Frequent Infection,Swollen testicles,Slow heart rate and pulse,Gonorrhea,Critical
Frequent Urination,Fever,Swollen genitals,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Frequent Urination,Fever,Frequent Infection,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Painful Urination,Hunger,Muscle Aches,Swollen testicles,Seizures,Typhoid,Critical
Painful Urination,Urge to urinate,Blurred Vision,Bloody diarrhea,Disorientation,Gonorrhea,Critical
Painful Urination,Fever,Blurred Vision,Rose spots,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Fever,Swollen genitals,Excessive Urination and Thirst,Seizures,Diabetes,Critical
Painful Urination,Hunger,Muscle Aches,Rashes,Seizures,Typhoid,Critical
"Yellow,green discharge",Tired,Muscle Aches,Bloody diarrhea,Seizures,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Blurred Vision,Excessive Urination and Thirst,Seizures,Diabetes,Critical
Painful Urination,Fever,Anal Itching and Pain,Swollen testicles,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Hunger,Headache,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Swollen genitals,Swollen testicles,Seizures,Gonorrhea,Critical
Frequent Urination,Fever,Swollen genitals,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Fever,Muscle Aches,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Blurred Vision,NIL,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Tired,Muscle Aches,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Headache,Rose spots,Cough and breathing difficulties,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
Difficulties in stooling,Tired,Headache,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Frequent Infection,Rashes,Disorientation,Gonorrhea,Critical
Difficulties in stooling,Fever,Blurred Vision,Swollen testicles,Disorientation,Typhoid,Critical
"Yellow,green discharge",Hunger,Blurred Vision,Swollen testicles,Seizures,Typhoid,Critical
Difficulties in stooling,Hunger,Abdominal Pain,Rose spots,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Muscle Aches,Rose spots,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Fever,Anal Itching and Pain,Excessive Urination and Thirst,Seizures,Diabetes,Critical
Frequent Urination,Fever,Anal Itching and Pain,Rashes,Slow heart rate and pulse,Diabetes,Critical
Painful Urination,Tired,Swollen genitals,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Urge to urinate,Muscle Aches,Swollen testicles,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Hunger,Swollen genitals,Bloody diarrhea,Disorientation,Typhoid,Critical
Frequent Urination,Hunger,Muscle Aches,Rashes,Confusion,Diabetes,Critical
Frequent Urination,Fever,Anal Itching and Pain,Swollen testicles,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Hunger,Headache,Bloody diarrhea,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Fever,Anal Itching and Pain,Rashes,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Headache,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Tired,Swollen genitals,Rose spots,Disorientation,Typhoid,Critical
Frequent Urination,Tired,Muscle Aches,Rose spots,Disorientation,Diabetes,Critical
Difficulties in stooling,Hunger,Abdominal Pain,Bloody diarrhea,Seizures,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,Rashes,Seizures,Gonorrhea,Critical
Frequent Urination,Hunger,Frequent Infection,Swollen testicles,Seizures,Diabetes,Critical
Frequent Urination,Urge to urinate,Headache,Swollen testicles,Slow heart rate and pulse,Diabetes,Critical
Frequent Urination,Urge to urinate,Blurred Vision,Rashes,Seizures,Diabetes,Critical
"Yellow,green discharge",Tired,Abdominal Pain,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Blurred Vision,Bloody diarrhea,Disorientation,Gonorrhea,Critical
Frequent Urination,Fever,Headache,Rose spots,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Hunger,Frequent Infection,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
"Yellow,green discharge",Tired,Muscle Aches,Swollen testicles,Confusion,Typhoid,Critical
"Yellow,green discharge",Tired,Muscle Aches,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
"Yellow,green discharge",Fever,Headache,Rose spots,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Fever,Anal Itching and Pain,NIL,Cough and breathing difficulties,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Muscle Aches,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Hunger,Swollen genitals,Bloody diarrhea,Confusion,Typhoid,Critical
Frequent Urination,Tired,Frequent Infection,Rashes,Disorientation,Diabetes,Critical
Frequent Urination,Tired,Headache,Bloody diarrhea,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Hunger,Blurred Vision,Bloody diarrhea,Confusion,Typhoid,Critical
Difficulties in stooling,Tired,Anal Itching and Pain,Rose spots,Disorientation,Typhoid,Critical
Painful Urination,Tired,Swollen genitals,Rose spots,Confusion,Typhoid,Critical
"Yellow,green discharge",Hunger,Frequent Infection,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Swollen genitals,Rose spots,Seizures,Typhoid,Critical
"Yellow,green discharge",Hunger,Headache,Rose spots,Cough and breathing difficulties,Typhoid,Critical
Painful Urination,Hunger,Blurred Vision,Swollen testicles,Confusion,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Swollen testicles,Slow heart rate and pulse,Gonorrhea,Critical
Frequent Urination,Tired,Muscle Aches,Rashes,Slow heart rate and pulse,Diabetes,Critical
Frequent Urination,Hunger,Headache,Rose spots,Cough and breathing difficulties,Diabetes,Critical
Painful Urination,Urge to urinate,Muscle Aches,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Frequent Urination,Urge to urinate,Muscle Aches,Rose spots,Cough and breathing difficulties,Diabetes,Critical
Painful Urination,Fever,Blurred Vision,Rashes,Confusion,Typhoid,Critical
Difficulties in stooling,Fever,Blurred Vision,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Fever,Muscle Aches,Rose spots,Seizures,Typhoid,Critical
Painful Urination,Urge to urinate,Muscle Aches,Rose spots,Cough and breathing difficulties,Gonorrhea,Critical
Painful Urination,Urge to urinate,Headache,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Painful Urination,Hunger,Frequent Infection,Bloody diarrhea,Disorientation,Typhoid,Critical
